"YEAR","SERIAL","MONTH","CPSID","ASECFLAG","ASECWTH","STATEFIP","STATECENSUS","COUNTY","METFIPS","METRO","OWNERSHP","HHINCOME","PUBHOUS","RENTSUB","HEATSUB","HEATVAL","FOODSTMP","STAMPNO","STAMPMO","ATELUNCH","FAMINC","PERNUM","CPSIDP","CPSIDV","ASECWT","RELATE","AGE","SEX","RACE","MARST","BPL","YRIMMIG","CITIZEN","HISPAN","EMPSTAT","LABFORCE","OCC","IND","CLASSWKR","UHRSWORKT","UHRSWORK1","WHYUNEMP","EDUC","DIFFHEAR","DIFFEYE","DIFFMOB","OCCLY","INDLY","CLASSWLY","WORKLY","PENSION","FIRMSIZE","FTOTVAL","INCTOT","INCWAGE","INCBUS","INCFARM","INCSS","INCWELFR","INCRETIR","INCSSI","INCINT","INCDIVID","INCRENT","CTCCRD","ACTCCRD","ADJGINC","EITCRED","FEDTAX","FEDTAXAC","MARGTAX","STATETAX","STATAXAC","TAXINC","OFFPOV","MIGSTA1","WHYMOVE","MIGRATE1","PAIDGH","HIMCARENW","HIMCAIDNW","CAIDNW","VETLAST","UNION"
2024,51901,3,2.02403e+13,1,1595.92,1,63,0,99998,1,10,36815,0,0,1,0,1,0,0,99,710,1,2.02403e+13,2.02403e+14,1595.92,101,77,2,100,1,9900,0,1,0,36,1,0,0,0,999,999,0,73,1,1,1,0,0,0,1,0,0,36815,14009,0,0,0,2400,0,0,0,9,0,0,0,0,28123,0,0,0,0,209,-91,0,2,99,0,1,0,2,1,1,0,0
2024,53280,3,2.02401e+13,1,1755.3,1,63,0,33860,3,10,68206,0,0,1,0,1,0,0,1,740,1,2.02401e+13,2.02401e+14,1755.3,101,51,2,200,1,9900,0,1,0,34,1,0,0,0,999,999,0,40,1,1,1,0,0,0,1,0,0,68206,0,0,0,0,0,0,99999999,0,0,0,0,51,0,28206,6586,0,-6586,10,699,399,506,2,99,0,1,0,1,1,1,0,0
2024,52602,3,2.02402e+13,1,1342.09,1,63,0,13820,3,22,48000,1,1,1,0,2,4,6,99,830,3,2.02402e+13,2.02402e+14,1753.91,301,2,2,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,18000,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,1,99,0,1,0,1,2,2,0,0
2024,52144,3,2.02313e+13,1,1026.67,1,63,1081,12220,4,10,39182,0,0,1,0,1,0,0,99,730,1,2.02313e+13,2.02313e+14,1026.67,101,74,2,100,5,9900,0,1,100,36,1,0,0,0,999,999,0,73,1,1,1,0,0,0,1,0,0,39182,39182,0,0,0,27180,0,0,0,2,0,0,0,0,12298,0,0,0,0,50,-100,0,2,99,0,1,0,2,1,1,0,0
2024,52195,3,2.02312e+13,1,2099.13,1,63,0,13820,3,10,29032,0,0,1,0,1,0,0,3,842,4,2.02312e+13,2.02312e+14,3681.76,301,1,1,200,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,29032,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,1,99,0,1,0,1,2,2,0,0
2024,52089,3,2.02413e+13,1,1045.44,1,63,0,99998,1,10,165401,0,0,1,0,1,0,0,3,841,7,2.02413e+13,2.02413e+14,1270.46,301,1,1,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,165401,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,1,1,0,0
2024,51690,3,2.02402e+13,1,1794.61,1,63,0,99998,1,10,157000,0,0,1,0,1,0,0,99,841,2,2.02402e+13,2.02402e+14,2153.55,301,21,2,100,6,9900,0,1,0,10,2,4110,8680,21,20,20,0,81,1,1,1,4110,8680,22,2,1,2,157000,15000,15000,0,0,0,0,99999999,0,0,0,0,0,0,15000,0,115,115,10,479,329,1150,2,99,0,1,0,1,1,1,0,0
2024,52150,3,2.02413e+13,1,1815.14,1,63,1081,12220,4,10,85000,0,0,1,0,1,0,0,1,841,1,2.02413e+13,2.02413e+14,1815.14,101,26,1,100,1,9900,0,1,0,10,2,6230,770,13,40,40,0,81,1,1,1,6230,770,13,2,1,1,85000,50000,0,50000,0,0,0,99999999,0,0,0,0,3697,2303,81468,0,0,-2303,12,3565,3265,44474,2,99,0,1,0,1,2,2,0,0
2024,52885,3,2.02402e+13,1,2427.69,1,63,0,26620,3,10,85001,0,0,1,0,1,0,0,99,841,2,2.02402e+13,2.02402e+14,2427.69,202,33,2,100,1,9900,0,1,0,34,1,0,0,0,999,999,0,92,1,1,1,0,0,0,1,0,0,85001,0,0,0,0,0,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,0,1,1,1,0,0
2024,52423,3,2.02413e+13,1,2065.07,1,63,0,13820,3,10,112000,0,0,1,0,1,0,0,99,820,1,2.02413e+13,2.02413e+14,2065.07,101,53,2,200,4,9900,0,1,0,10,2,3423,8191,27,66,36,0,92,1,1,1,3423,8191,27,2,3,9,112000,112000,84000,28000,0,0,0,99999999,0,0,0,0,0,0,110022,0,14519,14519,22,4084,3934,87323,2,99,0,1,10,1,1,1,0,0
2024,52930,3,2.02413e+13,1,1852.52,1,63,0,26620,3,10,58000,0,0,1,0,1,0,0,2,841,1,2.02413e+13,2.02413e+14,1852.52,101,34,2,100,4,9900,0,1,0,10,2,2330,7860,21,40,40,0,123,1,1,1,2330,7860,22,2,1,5,58000,58000,58000,0,0,0,0,99999999,0,0,0,0,3490,510,52500,0,0,-510,12,2067,1917,31700,2,99,0,1,21,1,1,1,0,0
2024,53237,3,2.02413e+13,1,3107.4,1,63,0,33860,3,10,46379,0,0,1,0,1,0,0,0,720,1,2.02413e+13,2.02413e+14,3107.4,101,17,1,801,6,9900,0,1,0,34,1,0,0,0,999,999,0,50,1,1,1,0,0,0,1,0,0,46379,0,0,0,0,0,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,0,1,2,2,0,0
2024,52460,3,2.02413e+13,1,1425.87,1,63,0,13820,2,10,77000,0,0,1,0,1,0,0,99,841,4,2.02413e+13,2.02413e+14,1072.27,301,3,2,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,77000,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,1,1,0,0
2024,52632,3,2.02413e+13,1,1396.84,1,63,0,13820,3,10,175000,0,0,1,0,1,0,0,1,843,3,2.02413e+13,2.02413e+14,1416.07,301,21,2,100,6,9900,0,1,0,10,2,5160,6870,21,40,40,0,73,1,1,1,5160,6870,22,2,3,7,175000,35000,35000,0,0,0,0,99999999,0,0,0,0,0,0,35000,0,2318,2318,12,1393,1243,21150,2,99,0,1,0,1,1,1,0,0
2024,52760,3,2.02413e+13,1,1401,1,63,1003,19300,4,10,172330,0,0,1,0,1,0,0,0,843,2,2.02413e+13,2.02413e+14,2090.55,301,17,1,100,6,9900,0,1,0,10,2,4110,8680,21,20,20,0,60,1,1,1,4110,8680,22,2,1,5,172330,22329,22322,0,0,0,0,99999999,0,7,0,0,0,0,22329,0,848,848,10,809,659,8479,2,99,0,1,0,1,2,2,0,0
2024,51613,3,2.02212e+13,1,1658.31,1,63,0,99998,1,10,50000,0,0,1,0,1,0,0,99,841,1,2.02212e+13,2.02212e+14,1658.31,101,54,2,100,5,9900,0,1,0,10,2,5740,7860,27,40,40,0,73,1,1,1,5740,7860,27,2,1,9,50000,50000,50000,0,0,0,0,99999999,0,0,0,0,500,0,50000,0,2690,2690,12,681,531,29200,2,99,0,1,10,1,1,1,0,1
2024,52590,3,2.02413e+13,1,1634.87,1,63,0,13820,3,22,62730,1,1,1,0,1,0,0,1,740,3,2.02413e+13,2.02413e+14,2134.46,301,15,1,100,6,9900,0,1,0,34,1,0,0,0,999,999,0,50,2,1,1,0,0,0,1,0,0,62730,9678,0,0,0,9623,0,99999999,0,55,0,0,0,0,55,0,0,0,0,0,-150,0,2,99,0,1,0,1,2,2,0,0
2024,53270,3,2.02402e+13,1,1499.89,1,63,0,33860,3,10,105000,0,0,1,0,1,0,0,99,842,2,2.02402e+13,2.02402e+14,1499.89,202,27,2,100,1,9900,0,1,0,10,2,2910,7490,13,40,40,0,73,1,1,1,3245,7860,22,2,1,7,105000,60000,60000,0,0,0,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,21,1,1,1,0,0
2024,51830,3,2.02402e+13,1,2072.36,1,63,0,99998,1,10,18570,0,0,1,0,1,0,0,99,430,1,2.02402e+13,2.02402e+14,2072.36,101,36,1,200,6,9900,0,1,0,10,2,5510,6380,21,35,35,0,92,1,1,1,5510,6380,22,2,1,9,18570,18570,18500,0,0,0,0,99999999,0,0,0,0,0,0,18640,0,479,479,10,636,486,4790,2,99,0,1,0,1,1,1,0,0
2024,52804,3,2.02401e+13,1,1825.02,1,63,0,22520,4,22,56200,1,1,1,0,1,0,0,99,830,1,2.02401e+13,2.02401e+14,1825.02,101,32,2,200,6,9900,0,1,0,10,2,845,8191,21,40,40,0,111,1,1,1,845,8191,22,2,3,9,56200,56200,56000,0,0,0,0,99999999,0,200,0,0,2000,0,50700,0,674,674,12,2031,1881,29900,2,99,0,1,21,1,1,1,0,0
2024,51699,3,2.02413e+13,1,1700.91,1,63,0,99998,1,22,1,1,2,1,0,2,2,12,99,500,2,2.02413e+13,2.02413e+14,1566.89,301,0,2,801,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,1,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,1,0,0,0,0,1,2,2,0,0
2024,52248,3,2.02312e+13,1,1170.53,1,63,0,13820,2,10,115183,0,0,1,0,1,0,0,1,841,1,2.02312e+13,2.02312e+14,1170.53,101,71,2,200,4,9900,0,1,0,10,2,9645,5790,21,24,24,0,73,1,1,1,9122,7860,28,2,1,2,115183,38179,17000,0,0,17579,0,0,0,0,0,0,0,1600,17395,3995,0,-5595,0,350,200,0,2,99,0,1,0,2,1,1,0,1
2024,53247,3,2.02413e+13,1,1704.74,1,63,0,33860,2,10,112200,0,0,1,0,1,0,0,0,841,2,2.02413e+13,2.02413e+14,1704.74,202,46,2,200,1,9900,0,1,0,34,1,0,0,0,999,999,0,81,1,1,1,0,0,0,1,0,0,112200,0,0,0,0,0,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,21,1,1,1,0,0
2024,53222,3,2.02303e+13,1,1548.93,1,63,0,33860,3,10,118150,0,0,1,0,1,0,0,2,843,5,2.02303e+13,2.02303e+14,1085.66,301,7,1,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,118150,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,2,2,0,0
2024,52765,3,2.02413e+13,1,1232.24,1,63,1003,19300,4,22,165400,1,1,1,0,1,0,0,1,842,3,2.02413e+13,2.02413e+14,1451.56,301,3,1,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,30000,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,1,99,0,1,0,1,1,1,0,0
2024,52054,3,2.02301e+13,1,1842.35,1,63,0,99998,1,10,12576,0,0,1,0,1,0,0,99,720,1,2.02301e+13,2.02301e+14,1842.35,101,78,2,100,5,9900,0,1,0,36,1,0,0,0,999,999,0,91,1,1,1,0,0,0,1,0,0,12576,12576,0,0,0,12576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-150,0,1,99,0,1,0,2,1,1,0,0
2024,52790,3,2.02312e+13,1,1301.49,1,63,1003,19300,4,10,50100,0,0,1,0,1,0,0,1,820,3,2.02312e+13,2.02312e+14,1151.11,301,7,2,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,50100,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,1,1,0,0
2024,52162,3,2.02302e+13,1,1443.83,1,63,1081,12220,4,10,402952,0,0,1,0,1,0,0,1,843,3,2.02302e+13,2.02302e+14,1384.42,1115,33,2,100,1,9900,0,1,0,10,2,5400,7970,21,20,20,0,73,1,1,1,5522,7290,22,2,1,7,307102,55100,55000,0,0,0,0,99999999,0,100,0,0,0,0,308102,0,53826,53826,24,12234,11934,280402,2,99,0,1,0,1,1,1,0,0
2024,51676,3,2.02401e+13,1,1227.66,1,63,0,99998,1,10,55200,0,0,1,0,1,0,0,99,842,2,2.02401e+13,2.02401e+14,1227.66,202,26,2,100,1,9900,0,1,0,34,1,0,0,0,999,999,0,111,1,1,1,0,0,0,1,0,0,55200,0,0,0,0,0,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,21,1,1,1,0,0
2024,52313,3,2.02302e+13,1,1429.52,1,63,0,13820,2,22,138005,1,1,1,0,2,4,12,99,740,1,2.02302e+13,2.02302e+14,1429.52,101,69,1,200,1,9900,0,1,0,36,1,0,0,0,999,999,0,71,1,1,1,3515,7780,22,2,3,9,138005,60265,60000,0,0,0,0,0,0,265,0,0,500,0,110680,0,8838,8838,12,4572,4272,81480,2,99,0,1,21,1,1,1,10,0
2024,51582,3,2.02302e+13,1,1840.55,1,63,0,99998,1,10,157840,0,0,1,0,1,0,0,99,841,2,2.02302e+13,2.02302e+14,1840.55,202,79,2,100,1,9900,0,1,0,32,1,0,0,0,999,999,0,111,2,1,2,0,0,0,1,0,0,157840,55990,0,0,0,22379,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,0,2,1,1,0,0
2024,51619,3,2.02301e+13,1,1232.29,1,63,0,99998,1,22,813,1,1,1,0,2,3,4,2,430,1,2.02301e+13,2.02301e+14,1232.29,101,33,2,100,2,9900,0,1,0,32,1,0,0,0,999,999,0,60,1,1,1,0,0,0,1,0,0,813,813,0,0,0,0,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,-150,0,1,99,0,1,0,1,2,2,0,0
2024,52349,3,2.02301e+13,1,1503.58,1,63,0,13820,3,10,1e+05,0,0,1,0,1,0,0,0,830,1,2.02301e+13,2.02301e+14,1503.58,101,34,2,100,1,9900,0,1,0,10,2,4600,8470,21,15,15,0,111,1,1,1,4600,8470,22,2,1,2,1e+05,15000,15000,0,0,0,0,99999999,0,0,0,0,8000,0,1e+05,0,236,236,12,4008,3708,72300,2,99,0,1,0,1,1,1,0,0
2024,53266,3,2.02212e+13,1,3050.68,1,63,0,33860,3,10,150400,0,0,1,0,1,0,0,99,842,2,2.02212e+13,2.02212e+14,3050.68,202,27,2,100,1,9900,0,1,0,10,2,800,9590,25,40,40,0,123,1,1,1,800,9590,25,2,3,9,150400,87100,87000,0,0,0,0,99999999,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,21,1,1,1,0,1
2024,52963,3,2.02212e+13,1,988.91,1,63,0,26620,2,10,2078999,0,0,1,0,1,0,0,2,843,2,2.02212e+13,2.02212e+14,988.91,202,61,2,100,1,9900,0,1,0,10,2,440,3580,21,40,40,0,111,1,1,1,2320,7860,28,2,3,9,2078999,70620,50600,0,0,0,0,20,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,21,1,1,1,0,1
2024,51852,3,2.02313e+13,1,1303.06,1,63,0,99998,1,10,161915,0,0,1,0,1,0,0,4,841,1,2.02313e+13,2.02313e+14,1303.06,101,40,2,100,1,9900,0,1,0,10,2,5740,9170,21,8,5,0,73,1,1,1,5740,8590,22,2,1,5,161915,22005,22000,0,0,0,0,99999999,0,5,0,0,6500,0,156015,0,11714,11714,22,6350,6050,128315,2,99,0,1,0,1,1,1,0,0
2024,52576,3,2.02402e+13,1,2193.17,1,63,0,13820,3,10,58862,0,0,1,0,1,0,0,99,841,1,2.02402e+13,2.02402e+14,2193.17,101,80,2,100,5,9900,0,1,0,36,1,0,0,0,999,999,0,92,2,1,1,0,0,0,1,0,0,58862,58862,0,0,0,29122,0,0,0,6280,0,0,0,0,42996,0,3056,3056,12,0,-150,27296,2,99,0,1,0,2,1,1,0,0
2024,51564,3,2.02312e+13,1,2498.82,1,63,0,99998,1,22,56001,1,1,1,0,2,1,8,99,720,1,2.02312e+13,2.02312e+14,2498.82,101,33,1,100,4,9900,0,1,0,10,2,7750,3570,21,40,40,0,73,1,1,1,7750,3570,22,2,1,9,53001,53001,47000,0,0,0,0,99999999,0,1,0,0,0,0,53001,0,4478,4478,12,1420,1270,39151,2,1,1,4,21,1,1,1,0,1
2024,51936,3,2.02402e+13,1,1670.34,1,63,0,99998,1,10,382700,0,0,1,0,1,0,0,99,843,1,2.02402e+13,2.02402e+14,1670.34,101,69,1,100,4,9900,0,1,0,10,2,2100,7270,21,50,50,0,123,1,1,1,2100,7270,22,2,1,5,382700,382700,2e+05,0,0,0,0,0,0,100200,0,82500,0,0,382700,0,100345,100345,35,13878,13728,367000,2,99,0,1,10,2,1,1,0,0
2024,51575,3,2.02312e+13,1,1122,1,63,0,99998,1,21,41600,1,1,1,0,2,4,12,3,600,4,2.02312e+13,2.02312e+14,1099.63,301,10,2,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,41600,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,2,2,0,0
2024,51665,3,2.02301e+13,1,1067.93,1,63,0,99998,1,22,42800,1,1,1,0,1,0,0,1,730,2,2.02301e+13,2.02301e+14,834.68,301,14,2,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,42800,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,1,1,0,0
2024,51650,3,2.02313e+13,1,1356.36,1,63,0,99998,1,10,98915,0,0,1,0,1,0,0,3,842,4,2.02313e+13,2.02313e+14,2090.14,301,9,2,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,98915,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,2,1,0,0
2024,52478,3,2.02413e+13,1,1798.54,1,63,0,13820,3,10,132485,0,0,1,0,1,0,0,99,843,3,2.02413e+13,2.02413e+14,2186.44,301,22,2,200,6,9900,0,1,0,10,2,4220,9480,27,40,40,0,81,1,1,1,4230,8191,25,2,1,9,132485,27480,27000,0,0,0,0,99999999,0,0,0,0,0,0,27000,0,1358,1358,12,811,661,13150,2,99,0,1,0,1,1,1,0,0
2024,51486,3,2.02402e+13,1,1705.31,1,63,0,99998,1,10,1,0,0,1,0,1,0,0,99,300,1,2.02402e+13,2.02402e+14,1705.31,101,64,2,200,4,9900,0,1,0,32,1,0,0,0,999,999,0,73,1,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-150,0,1,99,0,1,0,1,2,2,0,0
2024,53196,3,2.02402e+13,1,1797.45,1,63,1097,33660,2,10,21539,0,0,1,0,1,0,0,99,820,1,2.02402e+13,2.02402e+14,1797.45,101,79,2,100,5,9900,0,1,0,36,1,0,0,0,999,999,0,73,2,1,2,0,0,0,1,0,0,21539,21539,0,0,0,21539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-150,0,2,99,0,1,0,2,1,1,0,0
2024,52971,3,2.02303e+13,1,1209.52,1,63,0,26620,3,10,25348,0,0,1,0,1,0,0,99,820,1,2.02303e+13,2.02303e+14,1209.52,101,63,2,100,1,9900,0,1,0,10,2,2640,7370,13,997,997,0,111,1,1,1,2640,7370,13,2,1,1,25348,10080,0,10000,0,0,0,0,0,80,0,0,0,0,9402,600,0,-600,0,0,-300,0,2,99,0,1,0,1,1,1,0,0
2024,51678,3,2.02212e+13,1,1333.46,1,63,0,99998,1,22,0,2,0,1,0,2,5,12,2,470,5,2.02212e+13,2.02212e+14,2368.51,301,2,2,200,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,0,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,1,99,0,1,0,1,2,2,0,0
2024,53240,3,2.02302e+13,1,1724.92,1,63,0,33860,2,10,216045,0,0,1,0,1,0,0,1,842,3,2.02302e+13,2.02302e+14,2033.07,301,6,1,200,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,216045,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,1,1,0,0
2024,53210,3,2.02301e+13,1,1468.92,1,63,0,33860,3,22,42000,1,1,1,0,1,0,0,0,820,1,2.02301e+13,2.02301e+14,1468.92,101,25,2,100,6,9900,0,1,0,10,2,4760,5391,21,40,40,0,81,1,1,1,4760,5391,22,2,2,9,42000,42000,42000,0,0,0,0,99999999,0,0,0,0,2000,0,42000,729,230,-499,12,1660,1510,21200,2,99,0,1,21,1,1,1,0,0
2024,53272,3,2.02302e+13,1,1443.83,1,63,0,33860,3,10,275401,0,0,1,0,1,0,0,1,820,4,2.02302e+13,2.02302e+14,1877,301,18,1,100,6,9900,0,1,0,34,1,0,0,0,999,999,0,60,1,1,1,0,0,0,1,0,0,275401,0,0,0,0,0,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,0,1,1,1,0,0
